dept_name	dept_address	dept_city	dept_state	dept_country	dept_lead
Product Management	8 Iowa Parkway	Vancouver	Washington	United States	John Elway
Sales	34733 Northfield Avenue	Pittsburgh	Pennsylvania	United States	Joe Montana
Tech Support	0839 Blue Bill Park Trail	Tacoma	Washington	United States	Jerry Rice
Software	676 Westend Circle	Buffalo	New York	United States	Steve Young
Engineering	26794 Carpenter Junction	Portland	Oregon	United States	Stephen Curry
Accounting	432 Tennessee Trail	Fargo	North Dakota	United States	Lebron James
Hardware	4 Eastlawn Lane	Irvine	California	United States	Micheal Jordan
Information Technology	52027 Del Mar Crossing	Arvada	Colorado	United States	Shaq
Cybersecurity	362 Debra Plaza	Tampa	Florida	United States	Kobe Bryant
Human Resources	30 Bartillon Crossing	Chicago	Illinois	United States	Buster Posey
